Workspace;Power BI;Tabelas;Tabelas Secundárias;Origem
Credit;-;donus_kitchen_credit.mailing_cp_fidc;donus_relational.fidc_carteira_lp;Crédtobtg-abfss://iguazu-datalake-raw@gblstorageiguazuprod001.dfs.core.windows.net/donus_raw/btg/carteira_hourly/dt={today}/{hour_folder}
Credit;-;donus_kitchen_credit.mailing_cp_fidc;donus_serving.donus_customer;tabelasmapeadas
Credit;OKR Q4;donus_kitchen_credit.okr_q2_2022;donus_kitchen_credit.cp_total;#N/D
Credit;OKR Q4;donus_kitchen_credit.metasq2_cr_baddebt;manual input;#N/D
Credit;OKR Q4;donus_kitchen_credit.risco_sacado;donus_relational.fidc_carteira_lp;Crédtobtg-abfss://iguazu-datalake-raw@gblstorageiguazuprod001.dfs.core.windows.net/donus_raw/btg/carteira_hourly/dt={today}/{hour_folder}
Credit;OKR Q4;donus_kitchen_credit.risco_ambev_historico;donus_relational.fidc_carteira_lp;Crédtobtg-abfss://iguazu-datalake-raw@gblstorageiguazuprod001.dfs.core.windows.net/donus_raw/btg/carteira_hourly/dt={today}/{hour_folder}
Credit;OKR Q4;donus_kitchen_credit.risco_ambev_historico;donus_kitchen_credit.risco_all_poc_risk_score_document;#N/D
Credit;OKR Q4;donus_kitchen_credit.lp_over;donus_relational.fidc_carteira_lp;Crédtobtg-abfss://iguazu-datalake-raw@gblstorageiguazuprod001.dfs.core.windows.net/donus_raw/btg/carteira_hourly/dt={today}/{hour_folder}
Credit;OKR Q4;donus_kitchen_credit.lp_over;donus_kitchen_credit.carteira_lp;#N/D
Credit;OKR Q4;donus_kitchen_credit.lp_over_renegotiated;donus_kitchen_credit.lp_over;#N/D
Credit;Longo Prazo;donus_kitchen_credit.carteira_lp;donus_relational.fidc_carteira_lp_parcela;#N/D
Credit;Longo Prazo;donus_kitchen_credit.carteira_lp;donus_relational.fidc_carteira_lp;Crédtobtg-abfss://iguazu-datalake-raw@gblstorageiguazuprod001.dfs.core.windows.net/donus_raw/btg/carteira_hourly/dt={today}/{hour_folder}
Credit;Longo Prazo;donus_kitchen_credit.carteira_lp;donus_serving.fidc_carteira_lp_accrual;abfss://iguazu-datalake-raw@gblstorageiguazuprod001.dfs.core.windows.net/donus_raw/btg/carteira_hourly/dt={today}/{hour_folder}
Credit;Longo Prazo;donus_kitchen_credit.carteira_lp;donus_credit_kitchen_ds.mesano_csv;#N/D
Credit;Longo Prazo;donus_kitchen_credit.carteira_lp;donus_relational.fidc_carteira_lp_due_value;#N/D
Credit;Longo Prazo;donus_kitchen_credit.carteira_lp;donus_kitchen_finance.vw_balance_accounts_saldo_all;#N/D
Credit;Longo Prazo;donus_kitchen_credit.lp_over;;#N/D
Credit;Longo Prazo;donus_kitchen_credit.lp_over_renegotiated;;#N/D
Credit;Longo Prazo;donus_kitchen_credit.fidc_lp_rolagem;donus_kitchen_credit.fidc_lp_parcela_with_reneg_date;#N/D
Credit;Longo Prazo;donus_kitchen_credit.fidc_lp_lgd;donus_kitchen_credit.fidc_lp_lgd_first_month;#N/D
Credit;Longo Prazo;donus_kitchen_credit.fidc_lp_lgd;donus_kitchen_credit.fidc_lp_lgd_first_month_aggregate;#N/D
Credit;Longo Prazo;donus_kitchen_credit.fidc_lp_lgd;donus_kitchen_credit.fidc_lp_lgd_first_month_contract;#N/D
Credit;Longo Prazo;donus_kitchen_credit.fidc_lp_lgd;donus_kitchen_credit.fidc_lp_lgd_first_month_contract_fixed;#N/D
Credit;Longo Prazo;donus_kitchen_credit.fidc_lp_recuperacao;donus_kitchen_credit.carteira_lp;#N/D
Credit;Longo Prazo;donus_kitchen_credit.dados_lp_contrato;donus_relational.fidc_carteira_lp_parcela;#N/D
Credit;Longo Prazo;donus_kitchen_credit.dados_lp_contrato;donus_relational.fidc_carteira_lp;Crédtobtg-abfss://iguazu-datalake-raw@gblstorageiguazuprod001.dfs.core.windows.net/donus_raw/btg/carteira_hourly/dt={today}/{hour_folder}
Credit;Longo Prazo;donus_kitchen_credit.dados_lp_contrato;iris_kitchen.ambev_clientes;IrisDatashare:abfss://iguazudatalakeraw@gblstorageiguazuprod001.dfs.core.windows.net/irisraw/clientes/Clientes/
Credit;Longo Prazo;donus_kitchen_credit.dados_lp_contrato;iris_kitchen.ambev_estruturadevendas;IrisDatashareabfss://iguazudatalakeraw@gblstorageiguazuprod001.dfs.core.windows.net/irisraw/estruturadevendas/EstruturaVendas/
Credit;Longo Prazo;donus_kitchen_credit.dados_lp_contrato;ambev_credit_kitchen_ds.donus_lt_final_scores;#N/D
Credit;Longo Prazo;donus_kitchen_credit.dados_lp_contrato;ambev_credit_kitchen_ds.all_poc_risk_score_v2;GeradopelotimedeDataScientist
Credit;Longo Prazo;donus_kitchen_credit.dados_lp_contrato;iris_kitchen.postgres_cliente_mais;PostgreAMBEV,porémapartirde2023seráenviadoviadatashare
Credit;Longo Prazo;donus_kitchen_credit.dados_lp_contrato;donus_kitchen_operations.ambev_setores_censitarios_estrato_social_renda;#N/D
Credit;Longo Prazo;donus_kitchen_credit.carteira_lp_out_22;donus_kitchen_credit.manual_input_carteira_lp_out_22;#N/D
Credit;Longo Prazo;donus_kitchen_credit.carteira_lp_out_22;donus_kitchen_credit.manual_input_carteira_lp_22_liq_nov_22;#N/D
Credit;Longo Prazo;donus_kitchen_credit.carteira_lp_out_22;donus_kitchen_credit.dados_lp_contrato;#N/D
Credit;Longo Prazo;donus_kitchen_credit.lp_carteira_receita;donus_kitchen_credit.carteira_lp;#N/D
Credit;Longo Prazo;donus_kitchen_credit.over_mob_aux;donus_kitchen_credit.lp_over;#N/D
Credit;Longo Prazo Visão Produto;donus_kitchen_credit.lp_funil;donus_kitchen_data.TTV_Ambev;#N/D
Credit;Longo Prazo Visão Produto;donus_kitchen_credit.lp_funil;donus_kitchen_credit.projecao_ttv;#N/D
Credit;Longo Prazo Visão Produto;donus_kitchen_credit.lp_funil;donus_kitchen_credit.api_mova;#N/D
Credit;Longo Prazo Visão Produto;donus_kitchen_credit.lp_funil;donus_kitchen.mova_motor;#N/D
Credit;Longo Prazo Visão Produto;donus_kitchen_credit.lp_funil;donus_kitchen.mova_cotacao;#N/D
Credit;Longo Prazo Visão Produto;donus_kitchen_credit.lp_funil;donus_relational.fidc_carteira_lp;Crédtobtg-abfss://iguazu-datalake-raw@gblstorageiguazuprod001.dfs.core.windows.net/donus_raw/btg/carteira_hourly/dt={today}/{hour_folder}
Credit;Longo Prazo Visão Produto;donus_kitchen_credit.lp_funil;donus_kitchen_data.match_ambev_edv;TimeBeesBank
Credit;Longo Prazo Visão Produto;donus_kitchen_credit.dados_lp_contrato;;#N/D
Credit;Longo Prazo Visão Produto;donus_kitchen_credit.lp_returning_customers;donus_relational.fidc_carteira_lp;Crédtobtg-abfss://iguazu-datalake-raw@gblstorageiguazuprod001.dfs.core.windows.net/donus_raw/btg/carteira_hourly/dt={today}/{hour_folder}
Credit;Longo Prazo Visão Produto;donus_kitchen.mova_cotacao;;#N/D
Credit;;donus_kitchen_credit.depara_unb;manual input;#N/D
Credit;;donus_kitchen_credit.manual_cond_pgto;manual input;#N/D
